LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 1.4
Lattice spacing in x,y,z = 1.4189834 1.4189834 1.4189834
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (11.351867 11.351867 11.351867)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (11.351867 11.351867 11.351867)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 18 18 18
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.156 | 3.156 | 3.156 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     17500   3.0773767      3.8744437      0              8.4882549      73.284143    
     18000   3.0915676      3.8702837      0              8.5053708      73.213306    
     18500   2.9763732      3.9724306      0              8.4348104      74.513157    
     19000   3.0634831      3.9609042      0              8.5538851      74.125256    
     19500   3.0617065      3.8955922      0              8.4859095      73.427916    
     20000   3.0654197      3.8499808      0              8.4458651      73.040814    
     20500   3.0484287      3.9801587      0              8.550569       74.24762     
     21000   2.9776009      4.007888       0              8.4721084      74.965076    
     21500   2.9689318      4.0393346      0              8.4905578      75.289846    
     22000   3.1052602      3.8336157      0              8.4892316      73.132599    
     22500   3.0524615      3.920703       0              8.4971595      73.604072    
     23000   2.9618473      4.0563655      0              8.4969671      75.454942    
     23500   3.0266894      4.0051422      0              8.5429595      74.529789    
     24000   3.0599856      3.8753468      0              8.4630839      73.428335    
     24500   3.065253       3.9088167      0              8.5044511      73.293268    
     25000   3.0579196      3.8700398      0              8.4546796      73.265516    
     25500   3.0355845      3.9792018      0              8.5303553      74.733299    
     26000   3.0481942      3.8972799      0              8.4673386      73.686357    
     26500   3.0198891      3.9451039      0              8.4727258      74.164169    
     27000   3.0485987      3.9186329      0              8.4892982      73.566643    
     27500   3.0891493      3.869113       0              8.5005745      73.30003     
     28000   3.0360725      3.8805119      0              8.432397       72.919023    
     28500   3.082853       3.8958882      0              8.5179097      73.519008    
     29000   3.0900538      3.8286616      0              8.461479       72.869236    
     29500   2.9918465      4.0154629      0              8.5010415      74.656405    
     30000   3.0650269      3.8654159      0              8.4607113      73.179243    
     30500   3.133343       3.8512181      0              8.5489377      72.93345     
     31000   2.9391356      4.0275911      0              8.4341418      75.036621    
     31500   3.0217766      3.9756291      0              8.5060809      74.255969    
     32000   3.0496343      3.9904057      0              8.5626235      74.610352    
     32500   3.0477332      3.9010667      0              8.4704342      73.950958    
     33000   3.0391107      3.9294734      0              8.4859136      73.729314    
     33500   3.0173616      4.0104078      0              8.5342402      75.175421    
     34000   3.0946093      3.8407358      0              8.4803831      73.183108    
     34500   3.0510069      3.9076012      0              8.4818769      73.4509      
     35000   3.0043546      3.965687       0              8.4700185      74.057166    
     35500   2.9947313      4.0056947      0              8.4955983      74.418017    
     36000   3.0786414      3.8145695      0              8.4302767      72.991304    
     36500   3.0510496      3.9094071      0              8.4837469      73.661246    
     37000   3.06836        3.8855761      0              8.4858688      73.410803    
     37500   3.0725771      3.8635565      0              8.4701717      73.323612    
     38000   3.0177846      3.9672869      0              8.4917535      74.485537    
     38500   2.9759308      4.0755571      0              8.5372736      75.477311    
     39000   3.125986       3.8073022      0              8.4939917      72.579136    
     39500   3.0063769      3.9955186      0              8.5028821      74.525887    
     40000   2.9730013      4.0064654      0              8.4637898      74.557103    
     40500   3.0513117      3.9491235      0              8.5238562      74.000078    
     41000   2.9869093      4.0620802      0              8.5402565      75.249881    
     41500   3.0518415      3.9410007      0              8.5165277      73.923912    
     42000   2.967566       4.0477873      0              8.4969627      75.169221    
     42500   3.1281228      3.8486887      0              8.5385818      72.899682    
     43000   3.0514578      3.8808321      0              8.4557838      73.512732    
     43500   3.0159636      3.9470591      0              8.4687955      74.312686    
     44000   3.1286813      3.7921613      0              8.4828917      72.291393    
     44500   3.0538787      3.9634122      0              8.5419936      74.630831    
     45000   3.0586543      3.92262        0              8.5083613      73.869021    
     45500   3.0213324      3.931017       0              8.4608027      73.629911    
     46000   3.0738645      3.9218057      0              8.530351       73.731174    
     46500   3.037238       3.9084619      0              8.4620944      73.790363    
     47000   3.001857       3.9841885      0              8.4847753      74.31474     
     47500   3.0247571      3.8884812      0              8.4234014      73.788205    
     48000   2.9693853      4.0214664      0              8.4733695      74.841219    
     48500   3.1106632      3.8816263      0              8.5453427      73.384988    
     49000   3.0227887      3.9530896      0              8.4850587      73.871408    
     49500   3.0358696      3.9315638      0              8.4831447      73.974607    
     50000   3.0818206      3.8864411      0              8.5069148      73.864264    
Loop time of 26.3036 on 1 procs for 50000 steps with 2048 atoms

Performance: 1642360.450 tau/day, 1900.880 timesteps/s, 3.893 Matom-step/s
99.5% CPU use with 1 MPI tasks x 1 OpenMP threads

MPI task timing breakdown:
Section |  min time  |  avg time  |  max time  |%varavg| %total
---------------------------------------------------------------
Pair    | 8.472      | 8.472      | 8.472      |   0.0 | 32.21
Neigh   | 15.007     | 15.007     | 15.007     |   0.0 | 57.05
Comm    | 1.0117     | 1.0117     | 1.0117     |   0.0 |  3.85
Output  | 0.0093449  | 0.0093449  | 0.0093449  |   0.0 |  0.04
Modify  | 1.2792     | 1.2792     | 1.2792     |   0.0 |  4.86
Other   |            | 0.5245     |            |       |  1.99

Nlocal:           2048 ave        2048 max        2048 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Nghost:           1394 ave        1394 max        1394 min
Histogram: 1 0 0 0 0 0 0 0 0 0
Neighs:          12550 ave       12550 max       12550 min
Histogram: 1 0 0 0 0 0 0 0 0 0

Total # of neighbors = 12550
Ave neighs/atom = 6.1279297
Neighbor list builds = 20280
Dangerous builds = 0

unfix 1
dump           1 all atom ${run_steps} 3dWCA_T${final_temperature}_d${density}_N${run_steps}.lammpstrj
dump           1 all atom 100000 3dWCA_T${final_temperature}_d${density}_N${run_steps}.lammpstrj
dump           1 all atom 100000 3dWCA_T0.1_d${density}_N${run_steps}.lammpstrj
dump           1 all atom 100000 3dWCA_T0.1_d1.4_N${run_steps}.lammpstrj
dump           1 all atom 100000 3dWCA_T0.1_d1.4_N100000.lammpstrj
dump           2 all dcd ${thermo_time} 3dWCA_T${final_temperature}_d${density}_N${run_steps}.dcd
dump           2 all dcd 500 3dWCA_T${final_temperature}_d${density}_N${run_steps}.dcd
dump           2 all dcd 500 3dWCA_T0.1_d${density}_N${run_steps}.dcd
dump           2 all dcd 500 3dWCA_T0.1_d1.4_N${run_steps}.dcd
dump           2 all dcd 500 3dWCA_T0.1_d1.4_N100000.dcd
fix 1 all nvt temp ${initial_temperature} ${final_temperature} ${tau}
fix 1 all nvt temp 3 ${final_temperature} ${tau}
fix 1 all nvt temp 3 0.1 ${tau}
fix 1 all nvt temp 3 0.1 1

run ${run_steps}
run 100000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Per MPI rank memory allocation (min/avg/max) = 3.296 | 3.296 | 3.296 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
     50000   3.0818206      3.8864411      0              8.5069148      73.864264    
     50500   2.9979106      3.904676       0              8.3993462      73.409952    
     51000   2.9799121      3.9882947      0              8.4559804      74.430877    
     51500   3.0164812      3.8314793      0              8.3539918      72.635941    
     52000   2.9466882      3.8876799      0              8.305554       73.252634    
     52500   2.9526898      3.9040875      0              8.3309595      73.803908    
     53000   2.9419474      3.8983684      0              8.3091347      73.091429    
     53500   2.9189593      3.7617535      0              8.1380545      71.899051    
     54000   2.984083       3.6686017      0              8.1425406      70.752751    
ERROR: Dump dcd of non-matching # of atoms (src/EXTRA-DUMP/dump_dcd.cpp:137)
Last command: run ${run_steps}
